k,PC,PE,XB,FSI_approx
2,0.7920345193510043,0.33381285874926714,0.6533931394380452,0.4061114985814496
3,0.7545775552281954,0.4447187563194371,0.446254137744839,0.4201139445687839
4,0.7427702139540923,0.5016195435857604,0.4825923200925195,0.4412661290164281
5,0.7399357159665904,0.5360827867696274,0.384769804448394,0.45880515887450873
6,0.7533772781276777,0.5088386307465996,0.360454828419022,0.46256418716731884
7,0.7872013366785207,0.47753775172436586,0.29771842322506503,0.5199991356098465
8,0.789863099943427,0.4722220657497809,0.24943887744992393,0.5233598619537054
9,0.7340810383154877,0.5961027074755796,0.6622636964994212,0.46623349115729745
10,0.7642598230459337,0.5314885018130677,0.4816471472527564,0.48827767663771154
11,0.7693882828899331,0.5380556352368309,0.4552945440893119,0.5159373227939837
