__file__,cluster_1,cluster_2,cluster_3,cluster_4
ANTARTIDAFLMM.csv,0.887218467360915,0.1005274210683033,0.007068990208634549,0.0051851213621472
AlascaBRW.csv,0.16125977183379817,0.12731834755417457,0.6761835459456487,0.03523833466637861
AntartidaCAAM.csv,0.04799410162665131,0.8289553090107681,0.08457756762737023,0.03847302173521041
AntartidaFRSM.csv,0.4738837819741067,0.5012078255708209,0.011409329755087488,0.013499062699984927
AntartidaHOEM.csv,0.0443109101455362,0.8056697774891515,0.099978506333784,0.05004080603152835
AntartidaVAAM.csv,0.04175161623911793,0.8740027553902208,0.05146491683638856,0.032780711534272734
Atacama-APEX.csv,0.5156166655299518,0.1918144887545317,0.10003530526513166,0.19253354045038493
AtacamaMeteo.csv,0.08551598349296445,0.11946828162186968,0.09814810779168918,0.6968676270934767
DesertoArábia.csv,0.004498018348498572,0.013722234389708534,0.10885540252681787,0.872924344734975
DesertoAustralia.csv,0.006800844712214085,0.02068183715566096,0.19492723977086351,0.7775900783612615
DesertoNeguev.csv,0.009444376339833947,0.018933591132043934,0.5513806747026456,0.42024135782547645
DesertoSaara.csv,0.004411670449211577,0.013912201165245268,0.10088728739280539,0.8807888409927378
DesertodeGobi.csv,0.08322918709314568,0.2639856578832328,0.144910013359377,0.5078751416642445
DesertodoAtacama.csv,0.0031618875287944123,0.005504820716291552,0.9517092252585366,0.03962406649637738
GrooenlandiaSummit Station.csv,0.9411515578811929,0.024388739826609666,0.02704150301509421,0.0074181992771031715
MarsEnviroment.csv,0.202698164853833,0.6290469174622969,0.061691184263433466,0.10656373342043665
SAO JOSE DOS CORDEIROS.csv,0.009395352082986308,0.012050996111575578,0.8936699273719176,0.08488372443352052
SAO PAULO.csv,0.01453565227768137,0.011050663372497084,0.9427114097014976,0.031702274648324015
SiberiaGolomyanny.csv,0.16566179223254118,0.12667194899668532,0.6709747333242858,0.03669152544648779
ÍndiaMawsynram.csv,0.07587010270882287,0.049935691352226204,0.7949290728766352,0.07926513306231572
